,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,49416.59069992602,3948.0424001812935,True,2,I,mimi,False,0.3,-inf,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,49416.59069992602,3948.0424001812935,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,59286.291799973704,inf,True,2,mimi,I,True,0.3,-0.6868408707911152,0.3,9.766260287910034

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,49416.59069992602,3948.0424001812935,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,59286.291799973704,inf,True,2,mimi,I,True,0.3,-0.6868408707911152,0.3,9.766260287910034
2,3,75947.69569998607,2665.5231001786888,True,14,one,moja,False,0.3,-inf,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,49416.59069992602,3948.0424001812935,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,59286.291799973704,inf,True,2,mimi,I,True,0.3,-0.6868408707911152,0.3,9.766260287910034
2,3,75947.69569998607,2665.5231001786888,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,82057.58350016549,2116.178900003433,True,14,moja,one,True,0.3,-0.5429725229116419,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,49416.59069992602,3948.0424001812935,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,59286.291799973704,inf,True,2,mimi,I,True,0.3,-0.6868408707911152,0.3,9.766260287910034
2,3,75947.69569998607,2665.5231001786888,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,82057.58350016549,2116.178900003433,True,14,moja,one,True,0.3,-0.5429725229116419,0.3,-inf
4,5,88303.74820018187,4973.519700113684,True,15,have,na,False,0.3,-inf,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,49416.59069992602,3948.0424001812935,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,59286.291799973704,inf,True,2,mimi,I,True,0.3,-0.6868408707911152,0.3,9.766260287910034
2,3,75947.69569998607,2665.5231001786888,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,82057.58350016549,2116.178900003433,True,14,moja,one,True,0.3,-0.5429725229116419,0.3,-inf
4,5,88303.74820018187,4973.519700113684,True,15,have,na,False,0.3,-inf,0.3,-inf
5,6,95502.18730000779,2948.7510002218187,True,19,hot,moto,False,0.3,-inf,0.3,-inf

,trial,start_time,rt,correct,fact_id,question,answer,flipped,alpha,activation,flip_alpha,flip_activation
0,1,49416.59069992602,3948.0424001812935,True,2,I,mimi,False,0.3,-inf,0.3,-inf
1,2,59286.291799973704,inf,True,2,mimi,I,True,0.3,-0.6868408707911152,0.3,9.766260287910034
2,3,75947.69569998607,2665.5231001786888,True,14,one,moja,False,0.3,-inf,0.3,-inf
3,4,82057.58350016549,2116.178900003433,True,14,moja,one,True,0.3,-0.5429725229116419,0.3,-inf
